# of vertices,# of edges,ms for layout,norm(meanPos(vs)),norm(meanVel(vs)),maxPos(vertexSample),minPos(vertexSample),f0,epsR,K,d
100,100,7,8.269573749368712,2.1567790060316656,373.6097308633781,5.646240471594834,1,0.001,1,0.85
100,100,8,8.334864200317499,2.830666477908314,383.47022002638073,4.018306939933582,1,0.001,1,0.85
100,100,7,4.357560132391188,1.4878544177097608,169.82726832210258,5.538248858369501,1,0.001,1,0.85
100,100,7,5.568870553337886,2.323962225124036,403.1914773836621,5.727642568036507,1,0.001,1,0.85
100,100,9,6.913830190473432,2.7356280749975,413.05223664487335,5.178625185850229,1,0.001,1,0.85
100,100,8,7.192851707915918,2.069753861618695,422.9130774579117,5.04001746561923,1,0.001,1,0.85
100,100,10,14.308400845132251,1.6783463359739121,197.17930621210894,4.580184293421842,1,0.001,1,0.85
100,100,10,13.236308708851595,1.6396092746814173,442.6349891800462,5.268046454049683,1,0.001,1,0.85
100,100,8,7.905489012762329,1.2582755132369605,206.07586333528212,6.320580382112931,1,0.001,1,0.85
100,100,7,7.64135385245845,1.9423581419873177,201.21079447307648,5.080743963213154,1,0.001,1,0.85
100,100,8,10.29923840152572,1.1447525299439887,157.389619227026,4.476063714587486,1,0.001,1,0.85
100,100,17,11.587615810792927,2.656720225011788,482.0796443706266,6.677857172771571,1,0.001,1,0.85
100,100,7,9.328089101645002,2.4345908837553365,214.66686197552892,4.963400801894032,1,0.001,1,0.85
100,100,7,7.476672394375612,3.0038078055685666,501.80234323105947,2.8981870117061796,1,0.001,1,0.85
100,100,8,4.682867895777104,2.153088496188343,223.6392460322213,7.443156249376423,1,0.001,1,0.85
100,100,7,5.386077537618982,0.8851964236471604,177.39181027074096,3.2626595895598784,1,0.001,1,0.85
100,100,7,6.327771155521269,0.9385441477460134,531.3868017169282,4.043607266997837,1,0.001,1,0.85
100,100,17,11.321708539832315,1.614879248238133,246.12698538824844,5.385074952986127,1,0.001,1,0.85
100,100,7,5.558307929210021,2.113866347896338,241.58757776572858,3.9385166015667186,1,0.001,1,0.85
100,100,8,9.472827786879575,1.439758526400531,560.9717041513247,2.367799316864887,1,0.001,1,0.85
100,100,7,7.04119878572588,1.1382354646525135,250.56335504606574,4.759838873356792,1,0.001,1,0.85
100,100,7,12.31982337587679,0.7945418602453138,197.74652188119038,6.1382866626197226,1,0.001,1,0.85
100,100,8,10.51527798612471,1.0553450927953771,590.5570046018477,5.271017342827092,1,0.001,1,0.85
100,100,7,5.276007211439613,1.418748103680411,204.53471353686422,3.9838958512616194,1,0.001,1,0.85
100,100,17,3.8738003717664133,1.5963658641968215,277.2927836873119,4.817823159189968,1,0.001,1,0.85
100,100,8,10.936486487499852,3.4721492034295696,620.1426646260938,4.0398472093623035,1,0.001,1,0.85
100,100,7,15.354256674338556,3.286509838850926,630.0046253330461,2.7859510940691985,1,0.001,1,0.85
100,100,9,6.860851827930379,2.207901654107462,639.8666211519251,5.283403348263326,1,0.001,1,0.85
100,100,8,12.973753147675703,2.8874887790178914,286.47559996393073,9.371962587123889,1,0.001,1,0.85
100,100,8,6.593024703043106,0.624191373861803,659.5907138505523,9.307977830290774,1,0.001,1,0.85
100,100,6,8.371041518057089,0.9896276029848544,669.4528087037615,11.915050790469456,1,0.001,1,0.85
100,100,6,15.716029345094896,2.7660502423912976,299.94596397994155,9.39011675786376,1,0.001,1,0.85
100,100,8,17.111726344080836,1.6172731508944156,689.1770906691941,8.138154658476088,1,0.001,1,0.85
100,100,6,12.679776516293723,1.199742313206524,308.9270726360685,11.87818288077754,1,0.001,1,0.85
100,100,7,5.943481278176109,3.0560281133706786,708.9014898788893,8.429462811658818,1,0.001,1,0.85
100,100,8,13.931673834586546,2.306735701789857,718.7637314118838,9.581790366197332,1,0.001,1,0.85
100,100,7,7.539633272545337,1.509262922272442,728.6259998743021,9.421837124959449,1,0.001,1,0.85
100,100,7,10.190675010052658,1.5651375890160826,738.4882945397671,5.881108203009367,1,0.001,1,0.85
100,100,9,9.963425518742696,1.93416685490227,748.3506147158323,11.889459824158578,1,0.001,1,0.85
100,100,7,14.745222209312523,1.6737159674729525,344.10773056731404,11.067145240729579,1,0.001,1,0.85
100,100,8,23.59271346702186,2.5768395928801433,768.075328999819,12.894301919250575,1,0.001,1,0.85
100,100,7,15.650844743023743,3.5413104320715894,344.85764126554045,9.633483756424129,1,0.001,1,0.85
100,100,8,8.761543504760727,2.21772875040356,349.3495869954041,9.914194457455359,1,0.001,1,0.85
100,100,7,19.257056915721577,2.514818132517537,797.6625760511969,6.925974876820905,1,0.001,1,0.85
100,100,9,11.743191254594963,2.0296355229879635,807.5250362554148,10.424501662804207,1,0.001,1,0.85
100,100,8,4.922637824875603,1.0133759231935702,362.82617420736983,8.356029312971728,1,0.001,1,0.85
100,100,7,14.104859535543085,2.690399932338533,827.250020236557,12.907113583973233,1,0.001,1,0.85
100,100,7,16.23610674221936,3.774643769806595,837.1125429945114,12.292318215558812,1,0.001,1,0.85
100,100,7,9.917686559524263,1.500013578773825,277.9510037280004,11.296985684695105,1,0.001,1,0.85
100,100,7,6.605962128245532,0.3331916404238276,856.8376476460769,12.350919250003603,1,0.001,1,0.85
100,100,9,7.437972480805662,4.168207991351394,296.2882271892223,12.47908128115616,1,0.001,1,0.85
100,100,7,20.223962283161903,2.9160836940963093,397.58179001880404,10.35987191856433,1,0.001,1,0.85
100,100,7,5.88728664060511,2.3981681945669484,886.425445700575,14.841709652764692,1,0.001,1,0.85
100,100,7,4.824893356191262,2.756094735536839,896.2880809926847,14.206869980855158,1,0.001,1,0.85
100,100,6,23.94285448879272,2.375353356993505,410.95267086753927,11.743120517956408,1,0.001,1,0.85
100,100,8,13.795939013814056,1.1888792996824866,415.4098167905026,14.581674924197202,1,0.001,1,0.85
100,100,7,13.259682952033163,2.5698275334730867,412.24887815756927,15.226163994453001,1,0.001,1,0.85
100,100,7,23.94115606994019,2.0434319690792435,320.10091909710354,14.131997331928247,1,0.001,1,0.85
